dataset,method,predicted,predicted*2,predicted/2,ground_truth,ad,ad*2,ad/2,min_ad,top_ad
InsectWingbeatSound,FFT,16,32,8.0,15.519499999999994,0.48050000000000637,16.480500000000006,7.519499999999994,0.48050000000000637,0.48050000000000637
ItalyPowerDemand,FFT,24,48,12.0,23.99700000000007,0.0029999999999290594,24.00299999999993,11.997000000000071,0.0029999999999290594,0.0029999999999290594
LargeKitchenAppliances,FFT,22,44,11.0,28.45149999999967,6.451499999999669,15.548500000000331,17.45149999999967,6.451499999999669,6.451499999999669
Lightning2,FFT,19,38,9.5,19.98599999999999,0.98599999999999,18.01400000000001,10.48599999999999,0.98599999999999,0.98599999999999
Lightning7,FFT,159,318,79.5,159.00599999999986,0.005999999999858119,158.99400000000014,79.50599999999986,0.005999999999858119,0.005999999999858119
Mallat,FFT,42,84,21.0,128.00099999999998,86.00099999999998,44.000999999999976,107.00099999999998,44.000999999999976,86.00099999999998
Meat,FFT,27,54,13.5,56.0,29.0,2.0,42.5,2.0,29.0
MedicalImages,FFT,49,98,24.5,49.01599999999985,0.015999999999849024,48.98400000000015,24.51599999999985,0.015999999999849024,0.015999999999849024
MelbournePedestrian,FFT,11,22,5.5,12.000999999999747,1.0009999999997472,9.999000000000253,6.500999999999747,1.0009999999997472,1.0009999999997472
MiddlePhalanxOutlineAgeGroup,FFT,39,78,19.5,40.0,1.0,38.0,20.5,1.0,1.0
MiddlePhalanxOutlineCorrect,FFT,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
MiddlePhalanxTW,FFT,80,160,40.0,80.0010000000002,0.0010000000002037268,79.9989999999998,40.001000000000204,0.0010000000002037268,0.0010000000002037268
MoteStrain,FFT,83,166,41.5,85.18099999999998,2.180999999999983,80.81900000000002,43.68099999999998,2.180999999999983,2.180999999999983
NonInvasiveFetalECGThorax1,FFT,46,92,23.0,47.0,1.0,45.0,24.0,1.0,1.0
NonInvasiveFetalECGThorax2,FFT,46,92,23.0,47.0,1.0,45.0,24.0,1.0,1.0
OSULeaf,FFT,13,26,6.5,56.0,43.0,30.0,49.5,30.0,43.0
OliveOil,FFT,285,570,142.5,285.00049999999965,0.0004999999996471161,284.99950000000035,142.50049999999965,0.0004999999996471161,0.0004999999996471161
Plane,FFT,18,36,9.0,36.0,18.0,0.0,27.0,0.0,18.0
ProximalPhalanxOutlineAgeGroup,FFT,10,20,5.0,10.0,0.0,10.0,5.0,0.0,0.0
ProximalPhalanxOutlineCorrect,FFT,10,20,5.0,10.0,0.0,10.0,5.0,0.0,0.0
ProximalPhalanxTW,FFT,20,40,10.0,20.0,0.0,20.0,10.0,0.0,0.0
ShapeletSim,FFT,11,22,5.5,33.0,22.0,11.0,27.5,11.0,22.0
ShapesAll,FFT,64,128,32.0,127.00700000000006,63.00700000000006,0.9929999999999382,95.00700000000006,0.9929999999999382,63.00700000000006
SonyAIBORobotSurface1,FFT,35,70,17.5,37.99899999999991,2.99899999999991,32.00100000000009,20.49899999999991,2.99899999999991,2.99899999999991
SonyAIBORobotSurface2,FFT,13,26,6.5,63.756500000000074,50.756500000000074,37.756500000000074,57.256500000000074,37.756500000000074,50.756500000000074
Strawberry,FFT,14,28,7.0,14.996999999999986,0.9969999999999857,13.003000000000014,7.996999999999986,0.9969999999999857,0.9969999999999857
SwedishLeaf,FFT,16,32,8.0,32.0,16.0,0.0,24.0,0.0,16.0
Symbols,FFT,99,198,49.5,100.00149999999996,1.0014999999999645,97.99850000000004,50.501499999999965,1.0014999999999645,1.0014999999999645
SyntheticControl,FFT,15,30,7.5,15.000999999999976,0.0009999999999763531,14.999000000000024,7.500999999999976,0.0009999999999763531,0.0009999999999763531
ToeSegmentation1,FFT,26,52,13.0,76.0,50.0,24.0,63.0,24.0,50.0
ToeSegmentation2,FFT,33,66,16.5,35.00200000000001,2.0020000000000095,30.99799999999999,18.50200000000001,2.0020000000000095,2.0020000000000095
Trace,FFT,68,136,34.0,69.0,1.0,67.0,35.0,1.0,1.0
TwoLeadECG,FFT,20,40,10.0,20.742500000000007,0.7425000000000068,19.257499999999993,10.742500000000007,0.7425000000000068,0.7425000000000068
UMD,FFT,138,276,69.0,149.49200000000002,11.492000000000019,126.50799999999998,80.49200000000002,11.492000000000019,11.492000000000019
